"Goal","Target","Indicator","SeriesDescription","Area Name","Observation Status","Reporting Type","2020","2021","2022","2023"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Afghanistan","A","Global","-5.1","-22.6","-7.6","0.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Albania","A","Global","-2.9","9.8","5.7","4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Algeria","A","Global","-2.6","6.3","2","2.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Andorra","A","Global","-12.2","6.9","7.7","1.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Angola","A","Global","-8.7","-2","-0.2","-2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Anguilla","A","Global","-29.2","13.6","27.5","0.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Antigua and Barbuda","A","Global","-19.3","7.6","9","3.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Argentina","A","Global","-10.3","10.1","5","-1.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Armenia","A","Global","-6.7","6.6","12.2","6.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Aruba","A","Global","-26.4","24","8.3","4.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Australia","A","Global","1.1","3.4","2.5","0.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Australia and New Zealand","A","Global","0.7","3.5","2.5","0.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Austria","A","Global","-6.7","4.3","4.1","-1.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Azerbaijan","A","Global","-4.9","5.1","4","0.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Bahamas","A","Global","-21.7","15.3","10.5","2.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Bahrain","A","Global","-4.7","1.3","3","0.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Bangladesh","A","Global","2.6","6.1","6","4.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Barbados","A","Global","-15.2","-0.4","17.8","4.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Belarus","A","Global","0.2","3.5","-3.9","4.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Belgium","A","Global","-5.2","5.9","3.6","0.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Belize","A","Global","-15","16.5","6.7","-1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Benin","A","Global","1.1","4.4","3.6","3.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Bermuda","A","Global","-7.2","5","6.3","0"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Bhutan","A","Global","-10.8","3.7","4.5","4.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Bolivia (Plurinational State of)","A","Global","-9.9","5","2.4","1.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Bosnia and Herzegovina","A","Global","-1.7","9.2","5.5","2.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Botswana","A","Global","-10","10.3","3.8","1.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Brazil","A","Global","-3.8","4.3","2.6","2.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","British Virgin Islands","A","Global","-5.1","0.9","0.9","1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Brunei Darussalam","A","Global","0.1","-2.5","-2.4","0.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Bulgaria","A","Global","-2.6","8.7","4.8","2.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Burkina Faso","A","Global","-0.4","4.4","-0.8","0.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Burundi","A","Global","-2.5","0.3","-0.9","-0.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Cabo Verde","A","Global","-20.9","6.6","16.7","4.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Cambodia","A","Global","-5","1.6","3.7","3.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Cameroon","A","Global","-2.4","0.6","1","0.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Canada","A","Global","-6","4.5","2.8","0"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Caribbean","A","Global","-8.8","3.9","3.4","0.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Cayman Islands","A","Global","-6.8","2.8","3","2.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Central African Republic","A","Global","-0.7","-0.7","0.8","-0.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Central America","A","Global","-9.1","6","3.2","2.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Central and Southern Asia","A","Global","-4.4","6.9","4.9","5.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Central Asia","A","Global","-2.1","3.6","2.6","3.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Chad","A","Global","-5.1","-4.3","0.1","0.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Chile","A","Global","-7","10.8","1.6","-0.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","China","A","Global","2.1","8.4","3","5.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","China, Hong Kong Special Administrative Region","A","Global","-6.6","6.5","-3.4","3.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","China, Macao Special Administrative Region","A","Global","-55.1","21.5","-20.7","72.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Colombia","A","Global","-8.5","9.6","6.1","-0.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Comoros","A","Global","2","0.8","1.1","10.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Congo","A","Global","-8.5","-0.1","-0.6","-0.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Cook Islands","A","Global","-23","-14.3","32.4","23.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Costa Rica","A","Global","-4.9","7.4","4.1","4.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Côte d'Ivoire","A","Global","-1.8","4.4","3.6","3.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Croatia","A","Global","-7.6","13.5","7.8","3.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Cuba","A","Global","-10.7","1.7","2.3","-1.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Curaçao","A","Global","-16.4","4","6.9","4.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Cyprus","A","Global","-4.5","10.4","6.3","1.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Czechia","A","Global","-5.3","4.2","1.5","-1.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Democratic People's Republic of Korea","A","Global","-4.9","-0.4","-0.5","2.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Democratic Republic of the Congo","A","Global","-1.5","2.8","5.1","5.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Denmark","A","Global","-2.1","6.9","0.7","1.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Djibouti","A","Global","-0.3","3.1","2.3","6.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Dominica","A","Global","-15.7","6.8","6.5","3.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Dominican Republic","A","Global","-7.7","11.1","3.9","1.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Eastern Africa","A","Global","-2.5","2.9","2.4","2.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Eastern and South-Eastern Asia","A","Global","-0.5","6.3","2.7","4.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Eastern Asia","A","Global","0.3","6.9","2.5","4.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Eastern Europe","A","Global","-2.6","6.5","1.3","3.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Ecuador","A","Global","-10.3","9","5.3","1.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Egypt","A","Global","1.9","1.7","5.1","2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","El Salvador","A","Global","-8.1","11.5","2.4","3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Equatorial Guinea","A","Global","-7.4","-1.6","1.1","-7.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Eritrea","A","Global","-2.1","1.1","0.8","1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Estonia","A","Global","-3.1","7","-1.3","-4.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Eswatini","A","Global","-2.6","1.8","-0.6","3.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Ethiopia","A","Global","3.2","2.9","2.6","3.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Europe","A","Global","-5.9","6.7","3.4","0.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Europe and Northern America","A","Global","-4.3","6.3","2.9","1.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Fiji","A","Global","-17","-5.1","19.4","7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Finland","A","Global","-2.6","2.5","0.9","-1.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","France","A","Global","-7.7","6.6","2.3","0.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","French Polynesia","A","Global","-7","1.9","4.2","0.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Gabon","A","Global","-4.2","-0.8","0.7","0.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Gambia","A","Global","-1.8","2.8","3.1","2.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Georgia","A","Global","-6.3","10.9","10.8","7.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Germany","A","Global","-4.2","3.6","0.9","-0.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Ghana","A","Global","-1.5","3","1.8","1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Greece","A","Global","-9","9.9","7.4","4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Greenland","A","Global","0.2","1.4","1.5","1.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Grenada","A","Global","-14","4.4","7.1","3.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Guatemala","A","Global","-3.2","6.6","2.7","1.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Guinea","A","Global","2.1","3","1.4","3.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Guinea-Bissau","A","Global","-0.8","3.8","2.3","2.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Guyana","A","Global","43.5","18.9","62.1","32.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Haiti","A","Global","-4.5","-3","-2.8","-3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Honduras","A","Global","-10.5","10.7","2.4","1.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Hungary","A","Global","-4.1","7.6","4.5","-1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Iceland","A","Global","-8.4","3.6","6.8","3.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","India","A","Global","-6.7","8.8","6.1","7.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Indonesia","A","Global","-2.9","3","4.5","4.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Iran (Islamic Republic of)","A","Global","2.5","3.9","2.5","3.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Iraq","A","Global","-14.7","-0.7","5.2","-5.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Ireland","A","Global","6.1","15.2","6.9","-7.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Israel","A","Global","-3.1","7.7","4.5","0.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Italy","A","Global","-8.5","9.3","4.9","0.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Jamaica","A","Global","-10.2","4.3","5.2","2.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Japan","A","Global","-3.8","3.1","1.5","2.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Jordan","A","Global","-2.9","1.8","0.7","1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Kazakhstan","A","Global","-3.9","2.9","1.7","2.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Kenya","A","Global","-2.2","5.6","2.9","3.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Kiribati","A","Global","-3.2","6.6","2.9","1.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Kuwait","A","Global","-3.9","3.2","0.6","-8.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Kyrgyzstan","A","Global","-9.5","3.1","6.8","4.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Lao People's Democratic Republic","A","Global","1.7","2","3","2.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Latin America and the Caribbean","A","Global","-7.9","6.3","3.4","1.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Latvia","A","Global","-2.8","7.8","2.1","1.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Lebanon","A","Global","-23.4","1.7","0.5","-1.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Lesotho","A","Global","-9.2","1.1","1.3","0.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Liberia","A","Global","-5.6","0.2","-1.3","2.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Libya","A","Global","-50.8","26.7","-13.2","8.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Liechtenstein","A","Global","-1.6","-0.1","2.1","1.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Lithuania","A","Global","0","6.4","1.7","-1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Luxembourg","A","Global","-2.5","5.5","-0.6","-2.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Madagascar","A","Global","-9.5","2.1","1.6","1.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Malawi","A","Global","-1.8","1.9","-1.4","-1.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Malaysia","A","Global","-6.7","2.1","7.4","2.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Maldives","A","Global","-34.8","33.8","12.1","4.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Mali","A","Global","-2.3","0.5","3.8","7.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Malta","A","Global","-6","11.9","3.5","5.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Marshall Islands","A","Global","1.1","4.4","2.1","-0.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Mauritania","A","Global","-3.2","-2.1","3.7","3.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Mauritius","A","Global","-14.3","3.7","9.2","7.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Melanesia","A","Global","-6.6","-3.2","4.3","0.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Mexico","A","Global","-9.1","5.3","2.9","2.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Micronesia","A","Global","-2.9","-0.3","0.1","0.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Micronesia (Federated States of)","A","Global","-2.5","2.1","-1.2","0.3"
